T,player,seed,map_path,run_path,score,sec,returncode
7056,7,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=7#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,7.766,0
7056,8,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=8#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,7.446,0
7056,9,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=9#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,1,7.245,0
7056,10,10002,tournament/maps/species=4_animals=4x2_helpers=2_ark=990x990.json,tournament/runs/T=7056#player=10#seed=10002#map_path=species=4_animals=4x2_helpers=2_ark=990x990.log,0,7.281,0
2016,1,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=1#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,2,10.12,0
2016,2,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=2#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,2,7.737,0
2016,3,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=3#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,1,7.711,0
2016,4,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=4#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,1,7.977,0
2016,5,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=5#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,100,8.709,0
2016,6,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=6#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,1,8.361,0
2016,7,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=7#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,101,9.498,0
2016,8,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=8#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,1,9.142,0
2016,9,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=9#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,0,8.075,0
2016,10,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=2016#player=10#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,0,8.652,0
4032,1,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=1#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,2,16.14,0
4032,2,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=2#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,1,12.22,0
4032,3,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=3#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,3,12.13,0
4032,4,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=4#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,1,12.59,0
4032,5,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=5#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,102,14.33,0
4032,6,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=6#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,101,13.48,0
4032,7,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=7#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,101,15.82,0
4032,8,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=8#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,2,15.07,0
4032,9,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=9#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,2,13.01,0
4032,10,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=4032#player=10#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,1,14.35,0
7056,1,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=1#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,102,25.7,0
7056,2,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=2#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,102,19.1,0
7056,3,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=3#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,103,18.88,0
7056,4,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=4#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,3,19.41,0
7056,5,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=5#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,103,22.24,0
7056,6,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=6#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,101,21.34,0
7056,7,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=7#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,101,25.7,0
7056,8,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=8#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,3,23.8,0
7056,9,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=9#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,102,21.62,0
7056,10,10003,tournament/maps/species=4_animals=4x2_helpers=9_ark=500x500.json,tournament/runs/T=7056#player=10#seed=10003#map_path=species=4_animals=4x2_helpers=9_ark=500x500.log,2,23.42,0
2016,1,10004,tournament/maps/species=4_animals=4x2_helpers=9_ark=100x400.json,tournament/runs/T=2016#player=1#seed=10004#map_path=species=4_animals=4x2_helpers=9_ark=100x400.log,1,9.794,0
